STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2008,,8,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2009,,23,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2010,,14,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2011,,11,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2012,,16,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2013,,20,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2014,,24,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2015,,28,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2016,,40,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2017,,52,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2018,,54,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2019,,28,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2020,,30,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2021,,22,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,1995,,42169,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,1996,,32480,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,1997,,37338,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,1998,,33371,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,1999,,29113,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
