STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,174,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,170,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,169,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,168,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,170,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,170,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,134,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,137,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SVN,Slovenia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,136,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CAN,Canada,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_75,75 m and over,2019,,3199.7824933687,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CAN,Canada,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_75,75 m and over,2020,,3210,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2003,,5281,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2004,,5111,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2005,,4653,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2006,,4274,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2007,,4003,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2008,,3831,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2009,,3871,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2010,,4254,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2011,,3907,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2012,,4082,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2013,,4006,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2014,,4132,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_18_24,18-23.9 m,2015,,4178,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_24_30,24-29.9 m,2003,,268,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_24_30,24-29.9 m,2004,,215,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_24_30,24-29.9 m,2005,,178,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_24_30,24-29.9 m,2006,,156,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,THA,Thailand,A,Annual,VES,Vessels,VS,Vessels,LOA_24_30,24-29.9 m,2007,,158,,A,Normal value,,,0,Units,0,Zero,,
