STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,143,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,135,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,134,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,134,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,133,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,175,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,124,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,120,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,118,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,46,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,LTU,Lithuania,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,171,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,LTU,Lithuania,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,151,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,LTU,Lithuania,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,146,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,2644,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,3155,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,292822,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,268679,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,269736,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,262742,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,257045,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,250817,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,244569,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,237503,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,230504,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,225276,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,JPN,Japan,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,219485,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,128538,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,127784,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,124568,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,118789,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,112939,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,109356,,A,Normal value,,,0,Units,0,Zero,,
